,KNN,KNN_NO_VOLUME,FR,FR_NO_VOLUME
AAPL,157.58447235230756,1.9187055143466005,2.091042647550814,2.051725123931543
MSFT,337.0632457949787,4.496444951628331,5.5921656641451944,6.454271588314772
GOOG,302.66201376148575,1.113445422116024,1.4223702133526746,1.5448673913291524
AMZN,839.7426035187175,1.8556240163377944,2.155972766901128,2.0694040072476563
BRK-A,7257835.436000004,6747157.786000001,6851409.665094991,8028615.464525017
TSLA,3265.4628357406814,32.80742094574394,27.392165193941377,42.371264286760116
NVDA,1525.0806583791277,24.1597695187321,20.22929669527138,20.09447657266299
META,863.3535472506804,4.96016742727784,5.242038974103459,6.097785645364982
V,421.00127338286603,13.242977822775728,12.860990618684543,13.625426974952251
XOM,217.4272939875098,4.601447473979327,5.3645455491518135,4.982134140537635
UNH,851.7945611988828,22.77615047572835,24.642960050624215,27.533718502156518
JPM,266.8222722502733,22.636166751023183,21.870305508566496,20.239996466293356
JNJ,80.20853338849801,7.441790668597456,5.9216163048415025,6.251654305569809
WMT,49.40379837203193,2.0274269146269623,1.1878197579564536,1.273386706946145
MA,1354.8895984970932,57.21183283875397,27.76224233180003,48.00614621793604
PG,29.666214199806245,3.281648322684924,2.7866230502762583,2.832831028860911
CVX,183.2833991248197,5.982363440931086,5.244436890769018,5.466827506997496
HD,635.073592577058,17.08207351691556,16.848806418924152,16.597540600556417
LLY,686.2116247647982,16.72360424712024,10.400517693713507,12.276846051674354
ABBV,58.69231676899024,9.957131619590573,9.911466355624839,10.433222797083612
BAC,1.4534876576701747,0.28019025365208333,0.3335360895477329,0.30635855176078375
MRK,303.68247598018814,0.9812267016669501,0.7591670688792725,0.8141995690947315
AVGO,4745.67990723497,283.7246183134467,276.525051419141,270.51916901242134
KO,2.5755470942520895,0.5796087456509567,0.5941016900663366,0.5037753838169815
ORCL,168.97019142207552,26.312527370613772,18.276031908123283,19.847469222866447
PEP,26.064886246084008,6.576992030609398,6.278188809454585,6.500019300938712
PFE,23.00062463193506,0.5462497561038475,0.5342702996062536,0.5327142580300073
TMO,799.552102760721,16.3379306534864,20.50774547640045,25.2394681353893
COST,609.8774750805256,15.807260367294726,13.890327482647615,14.18586791354584
CSCO,12.428801199637398,0.5896195334116784,0.5465954831791017,0.47592407204406306
MCD,301.7571036921218,8.313470791600636,5.602085914175497,6.0149254603496995
NKE,193.1812122243711,2.01222838170751,2.1426204808201748,2.436521520728184
CRM,266.00545605398685,2.2180847550081078,3.2019033523056764,3.367275523483015
DIS,141.9065453689699,1.2564832559995132,1.321115197311372,1.4178773500053476
DHR,119.26688758650167,3.7136175855819618,2.8970069490136217,3.3649674584298297
ABT,26.580292339637573,1.7250597994459653,1.9571503946897466,1.7569190841280284
LIN,1251.8222895038793,35.268424603258346,33.160088822268435,37.010141169098894
WFC,11.405544024199106,0.5851999151129708,0.6212809241095643,0.6575427511773222
ACN,209.20425694545662,8.530577831520684,9.771024575118554,8.537020869356395
MS,180.00432542222734,40.63613426812715,37.599628631622636,41.96930076180569
VZ,16.592493029724317,1.2228315586614769,1.2219041793919274,1.2309020632875112
UPS,67.6201621283291,9.390913470865462,9.726995952449968,10.109409185097618
TXN,137.41989634898633,11.327950988624014,10.457471426659795,10.36973250610815
ADBE,1424.3619784456155,16.52619005353562,14.373453117594703,12.8171542866823
CMCSA,9.275209263342388,0.5914891705990165,0.6828338374428473,0.7452473117274272
PM,67.17504995056329,7.3018174654704655,7.196138360660814,9.198378056259177
NEE,14.293844579068013,1.1633251776890816,1.0185487676936007,0.9693909838772727
BMY,4.89480712951324,1.53257636324817,1.4406711650167483,1.2905089784193882
SCHW,71.55439297814296,0.8208218010892161,0.6906710074226423,0.7282212930453282
NFLX,9089.973142880375,33.929581577579484,20.60645053351551,23.484032253509795
